dataset,log_int_nobg,log_area,gt_label
sub1,7.891253,8.580168,1
sub1,8.110766,8.571492,2
sub1,8.467132,8.724370,2
sub1,7.843064,8.285765,1
sub1,7.924026,8.259976,2
sub1,7.762965,8.268988,1
sub1,8.351243,8.707318,2
sub1,8.321812,8.664751,2
sub1,7.757945,8.180601,1
sub1,7.739375,8.204125,1
sub1,7.668365,8.251664,1
sub1,8.250928,8.651374,2
sub1,8.201550,8.603554,2
sub1,8.648685,9.156729,2
sub1,8.205924,8.624612,2
sub1,7.523532,8.118803,1
sub1,8.140580,8.502486,2
sub1,8.211465,8.628019,2
sub1,7.734591,8.379769,2
sub1,8.119979,8.531490,2
sub1,7.934936,8.399535,2
sub1,8.045685,8.564268,2
sub1,7.968333,8.577159,1
sub1,7.871918,8.476580,2
sub1,7.524040,8.119696,1
sub1,8.026645,8.668368,2
sub1,8.257873,8.663196,2
sub1,7.841269,8.413831,1
sub1,8.362500,8.695507,2
sub1,8.096646,8.669399,2
sub1,8.055666,8.600799,2
sub1,7.831640,8.429236,1
sub1,7.787500,8.252967,2
sub1,7.706603,8.413609,1
sub1,8.302204,8.971067,1
sub1,7.725205,8.396832,1
sub1,8.217306,8.558911,2
sub1,7.636403,8.232706,1
sub1,8.291052,8.545781,2
sub1,8.275693,8.732627,2
sub1,7.672384,8.307213,2
sub1,7.446066,8.002360,1
sub1,7.276263,7.669495,1
sub1,7.256199,7.625107,2
sub1,7.131529,7.591357,1
sub2,6.130516,6.812345,2
sub2,8.146508,8.765459,2
sub2,7.814853,8.657303,1
sub2,8.342010,8.781248,2
sub2,8.026144,8.648923,2
sub2,7.611549,8.309431,1
sub2,8.271804,9.021115,1
sub2,7.694430,8.360539,1
sub2,7.106314,7.799753,2
sub2,7.399929,8.251664,1
sub2,7.821386,8.496378,2
sub2,7.522585,8.217708,1
sub2,8.122752,8.703507,2
sub2,7.571070,8.398410,1
sub2,7.743875,8.510571,1
sub2,7.412286,8.240385,1
sub2,7.473069,8.246434,1
sub2,8.117439,8.656607,2
sub2,7.727104,8.486528,2
sub2,8.457714,9.227197,2
sub2,7.698650,8.292799,1
sub2,8.061069,8.627661,2
sub2,7.835404,8.662332,2
sub2,8.041205,8.807173,2
sub2,8.110535,8.699848,2
sub2,5.723979,6.744059,1
sub2,7.924344,8.696343,2
sub2,7.723147,8.464003,1
sub2,7.303979,8.137980,1
sub2,7.689294,8.365207,1
sub2,6.321536,7.210818,1
sub2,7.844915,8.544030,2
sub2,7.627120,8.387312,1
sub2,8.058809,8.705165,2
sub2,7.863206,8.564458,2
sub2,7.734795,8.406708,1
sub2,7.654872,8.357494,1
sub2,7.511454,8.311153,1
sub2,8.070039,8.682029,2
sub2,8.029336,8.653122,1
sub2,7.483240,7.986505,2
sub2,8.265956,8.773694,1
sub2,8.023857,8.795431,2
sub2,7.761905,8.527144,2
sub2,7.409210,8.389814,1
sub2,7.575902,8.471568,1
sub3,5.678025,6.464588,1
sub3,6.778967,7.362011,1
sub3,6.620886,7.091742,2
sub3,6.790891,7.371489,1
sub3,5.950143,6.682109,1
sub3,7.614629,8.303752,2
sub3,7.813819,8.449343,1
sub3,8.190611,8.604654,2
sub3,7.645478,8.387768,1
sub3,7.527188,8.117014,1
sub3,8.042813,8.587465,2
sub3,8.107655,8.731175,2
sub3,7.512986,8.155362,1
sub3,6.224472,6.767343,1
sub3,7.780441,8.467162,1
sub3,7.817057,8.527935,1
sub3,7.610701,8.340933,1
sub3,5.791334,6.614726,1
sub3,7.581556,8.304495,1
sub3,7.892987,8.523175,1
sub3,7.760288,8.458504,1
sub3,7.629357,8.152774,2
sub3,7.985117,8.526153,2
sub3,8.065860,8.595080,2
sub3,8.020811,8.615590,2
sub3,7.155487,7.659643,1
sub3,7.091092,7.893199,1
sub3,8.290238,8.725182,2
sub3,7.840938,8.486528,1
sub3,7.637296,8.439664,1
sub3,7.661861,8.336390,1
sub3,7.705783,8.433377,1
sub3,5.370777,6.068426,1
sub3,8.092969,8.620111,2
sub3,8.275818,8.779250,2
sub3,7.824789,8.403128,1
sub3,8.257971,8.760610,2
sub3,8.380544,9.016513,2
sub3,8.556066,9.219696,2
sub3,7.668623,8.372630,2
sub3,7.712036,8.442470,1
sub3,7.862853,8.583543,1
sub3,7.700054,8.413831,1
sub3,8.316232,8.736650,2
sub3,6.997803,7.662468,1
sub3,7.838441,8.395252,2
sub3,8.272623,9.017605,2
sub3,7.636273,7.994632,2
sub3,7.492395,8.252185,1
sub3,8.481471,9.247154,1
sub3,7.878634,8.528331,2
sub3,7.769258,8.421123,1
sub3,7.836057,8.468843,1
sub3,7.272288,7.962764,1
sub3,8.799795,9.415809,2
sub3,5.208880,5.991465,1
sub3,8.258647,8.768419,2
sub3,7.593230,8.272826,1
sub3,7.799336,8.385032,1
sub3,8.656245,9.337413,2
sub3,8.281740,8.763897,2
sub3,7.801731,8.335192,2
sub3,7.626344,8.229511,2
sub4,6.780353,7.338238,1
sub4,7.892932,8.444192,1
sub4,7.832082,8.432289,1
sub4,8.344801,8.796339,2
sub4,7.838942,8.275631,2
sub4,8.411546,8.815815,2
sub4,7.843681,8.438366,2
sub4,7.882562,8.309677,2
sub4,7.777551,8.177235,2
sub4,5.953121,6.587550,2
sub4,8.112949,8.573384,2
sub4,7.835252,8.357963,2
sub4,7.895091,8.415603,2
sub4,7.680388,8.141772,2
sub4,8.400072,8.787983,2
sub4,7.785769,8.234565,2
sub4,8.297539,8.727292,2
sub4,8.289205,8.674197,2
sub4,8.510247,9.074750,2
sub4,7.628388,8.252707,2
sub4,8.381010,8.791334,2
sub4,7.776310,8.377241,2
sub4,8.253240,8.718827,2
sub4,8.339560,8.788441,2
sub4,7.937923,8.531293,2
sub4,8.077031,8.562167,2
sub4,7.906786,8.459564,1
sub4,7.783734,8.395477,1
sub4,7.789439,8.318986,2
sub4,8.013805,8.541300,2
sub4,8.341335,8.792246,2
sub4,8.398537,8.853237,2
sub4,7.861566,8.537192,1
sub4,7.734856,8.334952,2
sub4,8.326053,8.793005,2
sub4,7.925718,8.387085,2
sub4,7.704206,8.125927,2
sub4,7.868460,8.499640,2
sub4,8.354496,8.784622,2
sub4,7.785312,8.339262,1
sub4,8.128266,8.574329,2
sub4,7.838419,8.397057,2
sub4,7.779161,8.371242,2
sub4,8.731927,9.169727,2
sub4,8.403223,8.864464,2
sub4,6.559587,6.854355,2
sub4,7.671904,8.128290,2
sub4,8.003473,8.458504,1
sub4,7.795202,8.302018,2
sub4,8.013045,8.626227,1
sub4,8.512076,9.091782,1
sub4,7.677712,8.284504,1
sub4,8.367005,9.052868,2
sub4,7.969515,8.527935,2
sub4,7.462804,7.940228,2
sub4,7.519752,8.138857,2
sub4,7.220061,7.756623,1
sub4,6.981826,7.627057,1
sub4,6.953933,7.402452,2
sub4,6.320449,6.850126,2
